Index,AMI_A_ST,AMI_A_ST_conf,AMI_CQY_ST,AMI_CQY_ST_conf,AMI_CUE_24_ST,AMI_CUE_24_ST_conf,AMI_ALPHA_ST,AMI_ALPHA_ST_conf,AMI_BETA_ST,AMI_BETA_ST_conf,AMI_DCG_ST,AMI_DCG_ST_conf,AMI_CGR_ST,AMI_CGR_ST_conf,AMI_TCB_ST,AMI_TCB_ST_conf,AMI_TEB_ST,AMI_TEB_ST_conf,AMI_VP_SAT_ST,AMI_VP_SAT_ST_conf,AMI_VP_AIR_ST,AMI_VP_AIR_ST_conf,AMI_VPD_ST,AMI_VPD_ST_conf,AMI_P_GROSS_ST,AMI_P_GROSS_ST_conf,AMI_P_NET_ST,AMI_P_NET_ST_conf,AMI_g_S_ST,AMI_g_S_ST_conf,AMI_g_A_ST,AMI_g_A_ST_conf,AMI_g_C_ST,AMI_g_C_ST_conf,AMI_DTR_ST,AMI_DTR_ST_conf,BOS_A_ST,BOS_A_ST_conf,BOS_CQY_ST,BOS_CQY_ST_conf,BOS_CUE_24_ST,BOS_CUE_24_ST_conf,BOS_ALPHA_ST,BOS_ALPHA_ST_conf,BOS_BETA_ST,BOS_BETA_ST_conf,BOS_DCG_ST,BOS_DCG_ST_conf,BOS_CGR_ST,BOS_CGR_ST_conf,BOS_TCB_ST,BOS_TCB_ST_conf,BOS_TEB_ST,BOS_TEB_ST_conf,BOS_VP_SAT_ST,BOS_VP_SAT_ST_conf,BOS_VP_AIR_ST,BOS_VP_AIR_ST_conf,BOS_VPD_ST,BOS_VPD_ST_conf,BOS_P_GROSS_ST,BOS_P_GROSS_ST_conf,BOS_P_NET_ST,BOS_P_NET_ST_conf,BOS_g_S_ST,BOS_g_S_ST_conf,BOS_g_A_ST,BOS_g_A_ST_conf,BOS_g_C_ST,BOS_g_C_ST_conf,BOS_DTR_ST,BOS_DTR_ST_conf,CAV_A_ST,CAV_A_ST_conf,CAV_CQY_ST,CAV_CQY_ST_conf,CAV_CUE_24_ST,CAV_CUE_24_ST_conf,CAV_ALPHA_ST,CAV_ALPHA_ST_conf,CAV_BETA_ST,CAV_BETA_ST_conf,CAV_DCG_ST,CAV_DCG_ST_conf,CAV_CGR_ST,CAV_CGR_ST_conf,CAV_TCB_ST,CAV_TCB_ST_conf,CAV_TEB_ST,CAV_TEB_ST_conf,CAV_VP_SAT_ST,CAV_VP_SAT_ST_conf,CAV_VP_AIR_ST,CAV_VP_AIR_ST_conf,CAV_VPD_ST,CAV_VPD_ST_conf,CAV_P_GROSS_ST,CAV_P_GROSS_ST_conf,CAV_P_NET_ST,CAV_P_NET_ST_conf,CAV_g_S_ST,CAV_g_S_ST_conf,CAV_g_A_ST,CAV_g_A_ST_conf,CAV_g_C_ST,CAV_g_C_ST_conf,CAV_DTR_ST,CAV_DTR_ST_conf
,,,,AMI,TEMP,0.00%,1.24%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,RH,0.00%,46.61%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,CO2,0.00%,0.79%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,PPFD,21.91%,0.19%,12.36%,12.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,H,78.37%,52.30%,87.92%,87.92%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BOS,TEMP,0.00%,2.53%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,RH,0.00%,95.48%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,CO2,20.26%,0.06%,13.01%,12.76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,PPFD,80.27%,1.97%,51.58%,50.57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,H,0.00%,0.00%,37.15%,38.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CAV,TEMP,0.00%,1.14%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,RH,0.00%,43.16%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,CO2,19.03%,0.04%,12.82%,12.82%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,PPFD,75.35%,1.53%,50.80%,50.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,H,6.40%,55.17%,38.11%,38.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
